ORIGIN,DEST,DISTANCE,DISTANCE_GROUP
SRQ,JFK,1041,5
LAS,LGB,231,1
LGB,LAS,231,1
RIC,BOS,474,2
ROC,JFK,264,2
BOS,LAX,2611,11
LAX,BOS,2611,11
MCO,JFK,944,4
FLL,BWI,925,4
MCO,LGA,950,4
BDL,DCA,313,2
LAX,FLL,2343,10
FLL,LAX,2343,10
EWR,FLL,1065,5
FLL,EWR,1065,5
JFK,LAS,2248,9
DFW,BOS,1562,7
JAX,DCA,634,3
PSE,JFK,1617,7
JFK,PSE,1617,7
BOS,SRQ,1220,5
BDL,MCO,1050,5
MCO,SJU,1189,5
BOS,LGA,184,1
JAX,JFK,828,4
BOS,BWI,369,2
DCA,MCO,759,4
PBI,BOS,1197,5
BOS,PBI,1197,5
ATL,JFK,760,4
JFK,ATL,760,4
JFK,BOS,187,1
MCO,DCA,759,4
LAS,JFK,2248,9
JFK,JAX,828,4
JFK,MSY,1182,5
SFO,JFK,2586,11
BOS,SAN,2588,11
SAN,BOS,2588,11
LAX,JFK,2475,10
MCO,BQN,1129,5
BQN,MCO,1129,5
LGA,BOS,184,1
BOS,SFO,2704,11
PBI,DCA,857,4
CLE,BOS,563,3
BOS,CLE,563,3
EWR,PBI,1023,5
PBI,EWR,1023,5
RIC,FLL,805,4
FLL,RIC,805,4
BOS,SLC,2105,9
FLL,LGA,1076,5
ORH,JFK,150,1
SJC,JFK,2569,11
JFK,SJC,2569,11
PSE,MCO,1179,5
MCO,PSE,1179,5
JFK,ORH,150,1
BOS,RSW,1249,5
FLL,CLE,1062,5
CLE,FLL,1062,5
MCO,SYR,1053,5
SYR,MCO,1053,5
DCA,BOS,399,2
SLC,BOS,2105,9
PHL,BOS,280,2
JFK,SFO,2586,11
JFK,PBI,1028,5
BOS,DCA,399,2
BOS,SJU,1674,7
SJU,BOS,1674,7
RSW,BOS,1249,5
JFK,SLC,1990,8
SLC,JFK,1990,8
BOS,LAS,2381,10
LAS,BOS,2381,10
JFK,MCO,944,4
JFK,RDU,427,2
RDU,JFK,427,2
DCA,CHS,444,2
BOS,TPA,1185,5
TPA,BOS,1185,5
JFK,FLL,1069,5
FLL,JFK,1069,5
HOU,BOS,1609,7
MCO,EWR,937,4
EWR,MCO,937,4
BOS,JFK,187,1
FLL,HPN,1097,5
HPN,FLL,1097,5
ORD,JFK,740,3
RSW,BDL,1180,5
BDL,RSW,1180,5
PBI,JFK,1028,5
MCO,SWF,989,4
SAV,JFK,718,3
LGA,PBI,1035,5
AUS,JFK,1521,7
JFK,AUS,1521,7
MCO,SLC,1931,8
SLC,MCO,1931,8
JFK,SJU,1598,7
EWR,RSW,1068,5
RSW,EWR,1068,5
BOS,BUF,395,2
JFK,SAV,718,3
JFK,BQN,1576,7
BQN,JFK,1576,7
SFO,BOS,2704,11
BOS,SYR,265,2
LGB,SJC,324,2
SJC,LGB,324,2
BUF,BOS,395,2
BOS,PHX,2300,10
JFK,LAX,2475,10
JFK,TPA,1005,5
TPA,JFK,1005,5
JFK,RSW,1074,5
DCA,PBI,857,4
MCO,BDL,1050,5
BDL,PBI,1133,5
SWF,MCO,989,4
BOS,MCO,1121,5
PVD,MCO,1072,5
SJC,BOS,2689,11
BOS,SJC,2689,11
FLL,BOS,1237,5
FLL,ATL,581,3
ATL,FLL,581,3
JFK,PWM,273,2
SEA,JFK,2422,10
FLL,BDL,1173,5
BOS,PHL,280,2
MCO,PVD,1072,5
BOS,LGB,2602,11
MCO,ORH,1091,5
SJU,STX,94,1
STX,SJU,94,1
OAK,LGB,353,2
LGB,OAK,353,2
TPA,DCA,814,4
MCO,BOS,1121,5
ONT,JFK,2429,10
JFK,ONT,2429,10
IAD,BOS,413,2
BOS,IAD,413,2
BUR,JFK,2465,10
JFK,BUR,2465,10
PBI,LGA,1035,5
SMF,LGB,387,2
LGA,FLL,1076,5
BOS,MSY,1368,6
MSY,BOS,1368,6
BOS,ATL,946,4
ATL,BOS,946,4
HPN,MCO,972,4
JFK,DAB,891,4
BOS,RIC,474,2
FLL,PHL,992,4
PHL,FLL,992,4
SYR,BOS,265,2
DCA,RSW,892,4
TPA,HPN,1032,5
DCA,TPA,814,4
ORD,FLL,1182,5
FLL,SJU,1046,5
SJU,FLL,1046,5
FLL,ORD,1182,5
BOS,FLL,1237,5
EWR,TPA,997,4
TPA,EWR,997,4
PHX,BOS,2300,10
SEA,BOS,2496,10
BOS,SEA,2496,10
DCA,JAX,634,3
FLL,SWF,1118,5
JFK,ROC,264,2
JFK,HOU,1428,6
SFO,FLL,2584,11
FLL,SFO,2584,11
MSY,JFK,1182,5
SWF,FLL,1118,5
BDL,TPA,1111,5
DAB,JFK,891,4
LGA,MCO,950,4
DEN,BOS,1754,8
BOS,DEN,1754,8
BUF,JFK,301,2
LAX,BUF,2218,9
RSW,DCA,892,4
BUF,LAX,2218,9
SJU,MCO,1189,5
PWM,JFK,273,2
LGB,SLC,588,3
SLC,LGB,588,3
SAN,FLL,2269,10
FLL,SAN,2269,10
LGB,BOS,2602,11
LGB,JFK,2465,10
AUS,FLL,1105,5
FLL,AUS,1105,5
SRQ,BOS,1220,5
SJU,JFK,1598,7
JFK,IAD,228,1
JAX,BOS,1010,5
LGB,AUS,1226,5
AUS,LGB,1226,5
MSY,FLL,674,3
FLL,MSY,674,3
BWI,BOS,369,2
MCO,HPN,972,4
FLL,DCA,899,4
DCA,FLL,899,4
CHS,JFK,636,3
JFK,CHS,636,3
EWR,SJU,1608,7
BDL,FLL,1173,5
HPN,TPA,1032,5
RDU,BOS,612,3
EWR,BOS,200,1
BOS,PIT,496,2
PIT,BOS,496,2
SJU,EWR,1608,7
IAD,JFK,228,1
BOS,RDU,612,3
DCA,SJU,1554,7
DTW,BOS,632,3
SJU,DCA,1554,7
BOS,ORD,867,4
ORD,BOS,867,4
RSW,JFK,1074,5
BOS,MSP,1124,5
MSP,BOS,1124,5
JAX,FLL,319,2
BOS,DTW,632,3
LGB,PDX,846,4
SYR,JFK,209,1
BOS,EWR,200,1
TPA,BDL,1111,5
HPN,PBI,1056,5
MCO,BUF,1011,5
FLL,DTW,1127,5
CHS,BOS,818,4
BOS,CHS,818,4
SFO,LGB,354,2
JFK,BTV,266,2
BTV,JFK,266,2
STT,SJU,68,1
SJU,STT,68,1
AUS,BOS,1698,7
BOS,AUS,1698,7
SJU,TPA,1237,5
PBI,HPN,1056,5
DCA,BDL,313,2
BQN,FLL,982,4
FLL,BQN,982,4
FLL,SYR,1197,5
BOS,HOU,1609,7
SYR,FLL,1197,5
JFK,BUF,301,2
