airport_ID,airport,region
10135,ABE,6
10136,ABI,5
10140,ABQ,8
10141,ABR,5
10146,ABY,6
10154,ACK,6
10155,ACT,5
10157,ACV,7
10158,ACY,6
10165,ADK,3
10170,ADQ,2
10185,AEX,5
10208,AGS,6
10245,AKN,2
10257,ALB,6
10268,ALO,5
10279,AMA,5
10299,ANC,2
10333,APN,6
10361,ART,6
10372,ASE,8
10397,ATL,6
10408,ATW,5
10409,ATY,5
10423,AUS,5
10431,AVL,6
10434,AVP,6
10466,AZA,8
10469,AZO,6
10529,BDL,6
10551,BET,2
10558,BFF,5
10561,BFL,7
10562,BFM,5
10577,BGM,6
10581,BGR,6
10599,BHM,5
10620,BIL,8
10627,BIS,5
10631,BJI,5
10643,BKG,5
10666,BLI,7
10676,BLV,5
10685,BMI,5
10693,BNA,5
10713,BOI,8
10721,BOS,6
10728,BPT,5
10731,BQK,6
10739,BRD,5
10747,BRO,5
10754,BRW,2
10779,BTM,8
10781,BTR,5
10785,BTV,6
10792,BUF,6
10800,BUR,7
10821,BWI,6
10849,BZN,8
10868,CAE,6
10874,CAK,6
10918,CDC,8
10926,CDV,2
10967,CGI,5
10980,CHA,6
10990,CHO,6
10994,CHS,6
11003,CID,5
11013,CIU,6
11027,CKB,6
11042,CLE,6
11049,CLL,5
11057,CLT,6
11066,CMH,6
11067,CMI,5
11076,CMX,6
11092,CNY,8
11097,COD,8
11109,COS,8
11111,COU,5
11122,CPR,8
11140,CRP,5
11146,CRW,6
11150,CSG,6
11193,CVG,6
11203,CWA,5
11233,CYS,8
11252,DAB,6
11259,DAL,5
11267,DAY,6
11274,DBQ,5
11278,DCA,6
11292,DEN,8
11298,DFW,5
11308,DHN,5
11336,DLG,2
11337,DLH,5
11413,DRO,8
11415,DRT,5
11423,DSM,5
11433,DTW,6
11447,DVL,5
11468,EAR,5
11471,EAU,5
11481,ECP,5
11503,EGE,8
11525,EKO,7
11537,ELM,6
11540,ELP,8
11577,ERI,6
11587,ESC,6
11603,EUG,7
11612,EVV,5
11617,EWN,6
11618,EWR,6
11624,EYW,6
11630,FAI,2
11637,FAR,5
11638,FAT,7
11641,FAY,6
11695,FLG,8
11697,FLL,6
11721,FNT,6
11775,FSD,5
11778,FSM,5
11823,FWA,6
11865,GCC,8
11867,GCK,5
11884,GEG,7
11898,GFK,5
11905,GGG,5
11921,GJT,8
11953,GNV,6
11973,GPT,5
11977,GRB,5
11980,GRI,5
11982,GRK,5
11986,GRR,6
11995,GSO,6
11996,GSP,6
11997,GST,2
12003,GTF,8
12007,GTR,5
12012,GUC,8
12016,GUM,9
12094,HDN,8
12119,HGR,6
12124,HHH,6
12129,HIB,5
12173,HNL,1
12177,HOB,8
12191,HOU,5
12197,HPN,6
12206,HRL,5
12217,HSV,5
12223,HTS,6
12244,HVN,6
12250,HYA,6
12255,HYS,5
12264,IAD,6
12265,IAG,6
12266,IAH,5
12278,ICT,5
12280,IDA,8
12323,ILM,6
12335,IMT,5
12339,IND,6
12343,INL,5
12389,ISN,5
12391,ISP,6
12397,ITH,6
12402,ITO,1
12441,JAC,8
12448,JAN,5
12451,JAX,6
12478,JFK,6
12511,JLN,5
12519,JMS,5
12523,JNU,2
12758,KOA,1
12819,KTN,2
12884,LAN,6
12888,LAR,8
12889,LAS,7
12891,LAW,5
12892,LAX,7
12896,LBB,5
12898,LBE,6
12899,LBF,5
12902,LBL,5
12915,LCH,5
12917,LCK,6
12945,LEX,6
12951,LFT,5
12953,LGA,6
