airport,lat,lon
PANC,61.17440033,-149.9960022
PHNL,21.32062,-157.924228
KAAA,40.15869904,-89.33499908
KAAF,29.72750092,-85.02749634
KAAO,37.74760056,-97.22109985
KAAP,29.7225,-95.588303
KAAS,37.35829926,-85.30940247
KAAT,41.48300171,-120.5650024
KABE,40.65209961,-75.44080353
KABI,32.41130066,-99.68190002
KABQ,35.040199,-106.609001
KABR,45.44910049,-98.42179871
KABY,31.53549957,-84.19450378
KACB,44.988602,-85.198402
KACJ,32.110802,-84.188904
KACK,41.25310135,-70.06020355
KACP,30.75029945,-92.68830109
KACQ,44.07350159,-93.55290222
KACT,31.61129951,-97.23049927
KACV,40.978101,-124.109
KACY,39.45759964,-74.57720184
KACZ,34.71789932,-78.00360107
KADC,46.45029831,-95.21099854
KADG,41.86769867,-84.07730103
KADH,34.804298,-96.671303
KADM,34.30301,-97.0196342
KADS,32.96860123,-96.83640289
KADT,39.84009933,-101.0419998
KADU,41.70140076,-94.92050171
KADW,38.810799,-76.866997
KAE,56.973,-133.945999
KAEG,35.14519882,-106.7949982
KAEJ,38.81420135,-106.1210022
KAEL,43.68149948,-93.36720276
KAEX,31.32740021,-92.54979706
KAFF,38.96969986,-104.8130035
KAFJ,40.13650131,-80.29019928
KAFK,40.60689926,-95.86569977
KAFN,42.80509949,-72.00299835
KAFO,42.71120071,-110.9420013
KAFP,35.020599,-80.077103
KAFW,32.98759842,-97.31880188
KAGC,40.35440063,-79.93019867
KAGO,33.228001,-93.217002
KAGR,27.65060043,-81.34940338
KAGS,33.36989975,-81.96450043
KAGZ,43.06330109,-98.29620361
KAHC,40.26620102,-120.1529999
KAHH,45.28110123,-92.37539673
KAHN,33.94860077,-83.32630157
KAHQ,41.24129868,-96.59400177
KAIA,42.05319977,-102.8040009
KAIB,38.23880005,-108.5630035
KAID,40.10860062,-85.61299896
KAIG,45.15420151,-89.11070251
KAIK,33.649399,-81.684998
KAIO,41.40729904,-95.04689789
KAIT,46.54840088,-93.67680359
KAIV,33.106499,-88.1978
KAIY,39.36000061,-74.45610046
KAIZ,38.09600067,-92.54949951
KAJG,38.60649872,-87.72669983
KAJO,33.89770126,-117.6019974
KAJR,34.49990082,-83.55670166
KAJZ,38.78639984,-108.064003
KAKH,35.202598,-81.149902
KAKO,40.17559814,-103.2220001
KAKQ,36.98720169,-77.00109863
KAKR,41.03749847,-81.46690369
KALB,42.74829865,-73.80169678
KALI,27.74090004,-98.02690125
KALM,32.83990097,-105.9909973
KALN,38.89030075,-90.04599762
KALO,42.55709839,-92.40029907
KALS,37.434898,-105.866997
KALW,46.09489822,-118.288002
KALX,32.91469955,-85.96299744
KAMA,35.219398,-101.706001
KAMG,31.53610039,-82.50659943
KAMN,43.32210159,-84.68800354
KAMT,38.85150146,-83.56629944
KAMW,41.992001,-93.621803
KANB,33.5882,-85.8581
KAND,34.49459839,-82.70939636
KANE,45.145,-93.211401
KANJ,46.47919846,-84.36840057
KANK,38.5383,-106.049004
KANP,38.942902,-76.568398
KANQ,41.639702,-85.083504
KANW,42.579201,-99.992995
KANY,37.158501,-98.079597
KAOC,43.6035,-113.334
KAOH,40.706902,-84.026703
KAOO,40.29639816,-78.31999969
KAOV,36.97190094,-92.68190002
